Airline,Polarity,Top Terms
Air France,Negative,"paris, luggage, hours, time, food, cdg, class, business, airport, staff, told, economy"
Air France,Positive,"good, paris, food, cdg, crew, time, economy, cabin, class, business, staff, nice"
All Nippon Airways,Negative,"ana, food, class, tokyo, time, business, economy, japanese, cabin, staff, inflight, crew"
All Nippon Airways,Positive,"ana, good, food, tokyo, cabin, crew, economy, time, class, staff, meal, great"
Cathay Pacific Airlines,Negative,"hong, kong, economy, hours, class, food, time, staff, business, crew, meal, cabin"
Cathay Pacific Airlines,Positive,"good, kong, hong, economy, food, class, cabin, time, business, crew, great, staff"
Emirates,Negative,"dubai, staff, time, hours, crew, food, class, airport, passengers, customer, business, cabin"
Emirates,Positive,"dubai, good, food, crew, class, time, cabin, staff, business, great, excellent, entertainment"
Hainan Airlines,Negative,"beijing, food, hours, good, english, delay, cabin, hour, staff, china, entertainment, delayed"
Hainan Airlines,Positive,"beijing, good, food, cabin, crew, staff, time, nice, class, attendants, great, friendly"
Japan Airlines,Negative,"jal, economy, food, time, cabin, tokyo, meal, class, passengers, business, hours, staff"
Japan Airlines,Positive,"good, jal, food, economy, class, cabin, tokyo, crew, time, staff, business, excellent"
Korean Air,Negative,"class, business, seoul, staff, time, crew, hours, food, customer, hour, fly, cabin"
Korean Air,Positive,"good, food, seoul, cabin, crew, incheon, excellent, staff, class, great, time, comfortable"
Qatar Airways,Negative,"doha, hours, staff, food, airport, business, time, class, told, aircraft, delayed, hour"
Qatar Airways,Positive,"doha, good, food, class, crew, time, cabin, staff, business, great, excellent, comfortable"
Singapore Airlines,Negative,"economy, meal, food, class, crew, time, business, staff, cabin, hours, poor, did"
Singapore Airlines,Positive,"good, crew, food, cabin, economy, great, time, class, excellent, comfortable, staff, entertainment"
Turkish Airlines,Negative,"istanbul, airport, hours, staff, time, customer, ticket, luggage, told, delayed, food, experience"
Turkish Airlines,Positive,"istanbul, good, food, crew, time, class, business, staff, cabin, great, airport, excellent"
