Airline,Polarity,Top Terms
Air France,Negative,"paris, service, luggage, food, business, seats, hours, seat, time, told, flight., customer"
Air France,Positive,"good, paris, seat, service, food, seats, crew, cdg, cabin, business, economy, staff"
All Nippon Airways,Negative,"ana, seat, seats, service, food, class, tokyo, japanese, business, time, economy, staff"
All Nippon Airways,Positive,"ana, good, service, food, seat, cabin, seats, tokyo, crew, economy, staff, class"
Cathay Pacific Airlines,Negative,"hong, kong, service, seat, economy, seats, food, business, class, hours, staff, crew"
Cathay Pacific Airlines,Positive,"hong, good, food, service, kong, seat, economy, class, business, cabin, crew, seats"
Emirates,Negative,"dubai, service, staff, crew, food, time, hours, seat, customer, dubai., business, told"
Emirates,Positive,"dubai, service, good, food, crew, cabin, business, staff, class, seats, seat, time"
Hainan Airlines,Negative,"seat, beijing, service, food, hours, beijing., seats, cabin, staff, flight., told, did"
Hainan Airlines,Positive,"service, beijing, cabin, food, good, crew, staff, attendants, seat, nice, time, great"
Japan Airlines,Negative,"service, jal, cabin, food, economy, tokyo, business, seats, seat, time, meal, passengers"
Japan Airlines,Positive,"good, jal, food, service, seat, cabin, economy, class, tokyo, crew, staff, business"
Korean Air,Negative,"business, seats, service, class, seat, staff, seoul, crew, time, food, customer, fly"
Korean Air,Positive,"good, service, food, cabin, seoul, crew, seats, staff, seat, incheon, great, excellent"
Qatar Airways,Negative,"doha, service, seat, hours, staff, food, business, seats, airport, time, told, class"
Qatar Airways,Positive,"doha, service, good, food, business, crew, cabin, staff, class, seat, time, seats"
Singapore Airlines,Negative,"service, seat, economy, seats, meal, food, business, crew, staff, class, cabin, time"
Singapore Airlines,Positive,"service, good, crew, food, cabin, seat, economy, great, seats, class, staff, time"
Turkish Airlines,Negative,"istanbul, staff, service, airport, hours, customer, told, time, ticket, istanbul., luggage, seat"
Turkish Airlines,Positive,"good, istanbul, food, service, business, crew, cabin, class, staff, seat, seats, time"
